Serial_date,CO2 [ppmv]
1988-10-24-09:00,351.0071288
1988-11-01-00:00,351.9827363
1988-11-08-15:00,352.4988753
1988-11-16-06:00,352.9119995
1988-11-23-21:00,353.2516261
1988-12-01-12:00,353.5492394
1988-12-09-03:00,353.8276418
1988-12-16-18:00,354.1023626
1988-12-24-09:00,354.2291956
1989-01-01-00:00,354.3168207
1989-01-08-14:30,354.5152955
1989-01-16-05:00,354.4720817
1989-01-23-19:30,354.4196405
1989-01-31-10:00,354.4349196
1989-02-08-00:30,354.5350334
1989-02-15-15:00,355.1779359
1989-02-23-05:30,355.4897825
1989-03-02-20:00,355.8870679
1989-03-10-10:30,356.3280875
1989-03-18-01:00,356.7661629
1989-03-25-15:30,357.1704463
1989-04-02-06:00,357.507287
1989-04-09-20:30,357.7362741
1989-04-17-11:00,357.8475355
1989-04-25-01:30,357.8322613
1989-05-02-16:00,357.6886507
1989-05-10-06:30,357.4169803
1989-05-17-21:00,357.0236086
1989-05-25-11:30,356.680797
1989-06-02-02:00,356.0294172
1989-06-09-16:30,355.2836217
1989-06-17-07:00,354.4597176
1989-06-24-21:30,353.5753235
1989-07-02-12:00,352.6619037
1989-07-10-02:30,351.7400485
1989-07-17-17:00,350.75664
1989-07-25-07:30,349.8764099
1989-08-01-22:00,349.1127061
1989-08-09-12:30,348.5132032
1989-08-17-03:00,348.1309233
1989-08-24-17:30,347.9945823
1989-09-01-08:00,348.1164414
1989-09-08-22:30,348.477456
1989-09-16-13:00,349.011828
1989-09-24-03:30,349.6783114
1989-10-01-18:00,350.4023573
1989-10-09-08:30,351.1636183
1989-10-16-23:00,351.8553039
1989-10-24-13:30,352.489869
1989-11-01-04:00,353.0564392
1989-11-08-18:30,353.5988714
1989-11-16-09:00,354.1034287
1989-11-23-23:30,354.5716343
1989-12-01-14:00,354.9959115
1989-12-09-04:30,355.3587522
1989-12-16-19:00,355.7584513
1989-12-24-09:30,355.9849452
1990-01-01-00:00,356.2141135
1990-01-08-14:30,356.3498018
1990-01-16-05:00,356.4658383
1990-01-23-19:30,356.5836697
1990-01-31-10:00,356.71681
1990-02-08-00:30,356.8674175
1990-02-15-15:00,357.0338473
1990-02-23-05:30,357.2120055
1990-03-02-20:00,357.4031983
1990-03-10-10:30,357.6140608
1990-03-18-01:00,357.855766
1990-03-25-15:30,358.134601
1990-04-02-06:00,358.4394474
1990-04-09-20:30,358.7447829
1990-04-17-11:00,359.0079142
1990-04-25-01:30,359.1603975
1990-05-02-16:00,359.167597
1990-05-10-06:30,358.9781707
1990-05-17-21:00,358.5784388
1990-05-25-11:30,357.9803902
1990-06-02-02:00,357.1803069
1990-06-09-16:30,356.3477791
1990-06-17-07:00,355.4731296
1990-06-24-21:30,354.6004227
1990-07-02-12:00,353.7694812
1990-07-10-02:30,352.9880749
1990-07-17-17:00,352.2507549
1990-07-25-07:30,351.558443
1990-08-01-22:00,350.9089573
1990-08-09-12:30,350.3154318
1990-08-17-03:00,349.8165622
1990-08-24-17:30,349.4631761
1990-09-01-08:00,349.2961384
1990-09-08-22:30,349.3675495
1990-09-16-13:00,349.7009806
1990-09-24-03:30,350.2953226
1990-10-01-18:00,351.1962904
1990-10-09-08:30,352.1471519
1990-10-16-23:00,352.9921511
1990-10-24-13:30,353.9284348
1990-11-01-04:00,354.7697511
1990-11-08-18:30,355.4588726
1990-11-16-09:00,355.967059
1990-11-23-23:30,356.3063794
1990-12-01-14:00,356.5147325
1990-12-09-04:30,356.6446443
1990-12-16-19:00,356.7539192
1990-12-24-09:30,356.8884684
1991-01-01-00:00,357.1937092
1991-01-08-14:30,357.3842024
1991-01-16-05:00,357.5805492
1991-01-23-19:30,357.7788051
1991-01-31-10:00,357.9744846
1991-02-08-00:30,358.1711575
1991-02-15-15:00,358.3832645
1991-02-23-05:30,358.6359318
1991-03-02-20:00,358.9531433
1991-03-10-10:30,359.3404567
1991-03-18-01:00,359.7856473
1991-03-25-15:30,360.2549792
1991-04-02-06:00,360.6885598
1991-04-09-20:30,361.0316062
1991-04-17-11:00,361.2367436
1991-04-25-01:30,361.2750652
1991-05-02-16:00,361.1469597
1991-05-10-06:30,360.8721126
1991-05-17-21:00,360.4870271
1991-05-25-11:30,360.0240075
1991-06-02-02:00,359.5026572
1991-06-09-16:30,358.9334932
1991-06-17-07:00,358.2899376
1991-06-24-21:30,357.5946138
1991-07-02-12:00,356.8088757
1991-07-10-02:30,355.9240238
1991-07-17-17:00,354.9487141
1991-07-25-07:30,353.9305759
1991-08-01-22:00,352.9234022
1991-08-09-12:30,351.9939637
1991-08-17-03:00,351.2253211
1991-08-24-17:30,350.6786103
1991-09-01-08:00,350.4009504
1991-09-08-22:30,350.409418
1991-09-16-13:00,350.7110296
1991-09-24-03:30,351.2577228
1991-10-01-18:00,351.9782747
1991-10-09-08:30,352.7902541
1991-10-16-23:00,353.6094642
1991-10-24-13:30,354.3014898
1991-11-01-04:00,354.9245699
1991-11-08-18:30,355.4118348
1991-11-16-09:00,355.7748992
1991-11-23-23:30,356.0598692
1991-12-01-14:00,356.325217
1991-12-09-04:30,356.6199932
1991-12-16-19:00,356.9799064
1991-12-24-09:30,357.4136539
1992-01-01-00:00,358.0971054
1992-01-08-15:00,358.5691596
1992-01-16-06:00,358.9888033
1992-01-23-21:00,359.3543528
1992-01-31-12:00,359.5270367
1992-02-08-03:00,359.6559542
1992-02-15-18:00,359.7691348
1992-02-23-09:00,359.8935224
1992-03-02-00:00,360.0469285
1992-03-09-15:00,360.2337717
1992-03-17-06:00,360.432993
1992-03-24-21:00,360.6495674
1992-04-01-12:00,360.8618053
1992-04-09-03:00,361.0463152
1992-04-16-18:00,361.1754659
1992-04-24-09:00,361.2178317
1992-05-02-00:00,361.1460946
1992-05-09-15:00,360.9384968
1992-05-17-06:00,360.5895389
1992-05-24-21:00,360.1075392
1992-06-01-12:00,359.5133761
1992-06-09-03:00,358.8455565
1992-06-16-18:00,358.1317583
1992-06-24-09:00,357.3868373
1992-07-02-00:00,356.6187224
1992-07-09-15:00,355.8094482
1992-07-17-06:00,354.9363935
1992-07-24-21:00,354.0014591
1992-08-01-12:00,353.022059
1992-08-09-03:00,352.0508195
1992-08-16-18:00,351.1861417
1992-08-24-09:00,350.5268826
1992-09-01-00:00,350.1665022
1992-09-08-15:00,350.1670456
1992-09-16-06:00,350.5323957
1992-09-23-21:00,351.2159496
1992-10-01-12:00,352.1152386
1992-10-09-03:00,352.9755496
1992-10-16-18:00,353.9641651
1992-10-24-09:00,354.8558227
1992-11-01-00:00,355.6068911
1992-11-08-15:00,356.2095722
1992-11-16-06:00,356.6770139
1992-11-23-21:00,357.0479845
1992-12-01-12:00,357.3629996
1992-12-09-03:00,357.6530293
1992-12-16-18:00,357.94438
1992-12-24-09:00,358.2201089
1993-01-01-00:00,358.5449198
1993-01-08-14:30,358.8929857
1993-01-16-05:00,359.2476298
1993-01-23-19:30,359.5813189
1993-01-31-10:00,359.8699582
1993-02-08-00:30,360.0945567
1993-02-15-15:00,360.245951
1993-02-23-05:30,360.3365704
1993-03-02-20:00,360.3950097
1993-03-10-10:30,360.4597873
1993-03-18-01:00,360.5685508
1993-03-25-15:30,360.7445891
1993-04-02-06:00,360.9821441
1993-04-09-20:30,361.2487009
1993-04-17-11:00,361.487243
1993-04-25-01:30,361.6258776
1993-05-02-16:00,361.6022771
1993-05-10-06:30,361.3732467
1993-05-17-21:00,360.9328243
1993-05-25-11:30,360.3073132
1993-06-02-02:00,359.5478386
1993-06-09-16:30,358.730655
1993-06-17-07:00,357.9176988
1993-06-24-21:30,357.1514924
1993-07-02-12:00,356.4585949
1993-07-10-02:30,355.841188
1993-07-17-17:00,355.2384632
1993-07-25-07:30,354.6434128
1993-08-01-22:00,354.037263
1993-08-09-12:30,353.4269176
1993-08-17-03:00,352.858387
1993-08-24-17:30,352.4411346
1993-09-01-08:00,352.1442093
1993-09-08-22:30,352.0847775
1993-09-16-13:00,352.2915162
1993-09-24-03:30,352.7560757
1993-10-01-18:00,353.4208627
1993-10-09-08:30,354.2056933
1993-10-16-23:00,355.0230072
1993-10-24-13:30,355.7717191
1993-11-01-04:00,356.4363922
1993-11-08-18:30,356.9893505
1993-11-16-09:00,357.4412163
1993-11-23-23:30,357.8200793
1993-12-01-14:00,358.1857788
1993-12-09-04:30,358.5533152
1993-12-16-19:00,358.9350872
1993-12-24-09:30,359.3252621
1994-01-01-00:00,359.5128967
1994-01-08-14:30,359.8796067
1994-01-16-05:00,360.2137048
1994-01-23-19:30,360.5033967
1994-01-31-10:00,360.7512953
1994-02-08-00:30,360.9912686
1994-02-15-15:00,361.2247965
1994-02-23-05:30,361.4600742
1994-03-02-20:00,361.7053898
1994-03-10-10:30,361.9592003
1994-03-18-01:00,362.2278236
1994-03-25-15:30,362.4743109
1994-04-02-06:00,362.7557509
1994-04-09-20:30,363.0253481
1994-04-17-11:00,363.2538217
1994-04-25-01:30,363.3977217
1994-05-02-16:00,363.4129007
1994-05-10-06:30,363.2596902
1994-05-17-21:00,362.9185763
1994-05-25-11:30,362.3956671
1994-06-02-02:00,361.7215996
1994-06-09-16:30,360.9577487
1994-06-17-07:00,360.1634997
1994-06-24-21:30,359.3892431
1994-07-02-12:00,358.6749714
1994-07-10-02:30,358.0238413
1994-07-17-17:00,357.3833169
1994-07-25-07:30,356.7736286
1994-08-01-22:00,356.1591474
1994-08-09-12:30,355.535571
1994-08-17-03:00,354.9580288
1994-08-24-17:30,354.3229198
1994-09-01-08:00,353.8456048
1994-09-08-22:30,353.6660255
1994-09-16-13:00,353.7726462
